Cuisine,Ingredient,Frequency
Swiss,green onions,6
Swedish,green onions,2
French,green onions,22
African,green onions,43
Australian,green onions,80
English,green onions,10
Quebec,green onions,3
Middle Eastern,green onions,40
Lebanese,green onions,5
Greek,green onions,59
South American,green onions,40
Russian,green onions,13
Japanese,green onions,68
Puertorican,green onions,
Spanish,green onions,13
Irish,green onions,5
Thai,green onions,139
Polynesian,green onions,9
Iraqi,green onions,
Pakistani,green onions,
Scottish,green onions,3
South African,green onions,2
Colombian,green onions,9
Welsh,green onions,1
Czech,green onions,
Filipino,green onions,7
Cuban,green onions,4
Belgian,green onions,
Costarican,green onions,2
Guatemalan,green onions,
Finnish,green onions,1
Moroccan,green onions,15
Iranian Persian,green onions,1
Turkish,green onions,10
Portuguese,green onions,4
Hungarian,green onions,2
Georgian,green onions,
Brazilian,green onions,3
Nigerian,green onions,2
Ethiopian,green onions,
Ecuadorean,green onions,1
Peruvian,green onions,1
Egyptian,green onions,2
Argentine,green onions,5
Chilean,green onions,3
Malaysian,green onions,4
Nepalese,green onions,2
Vietnamese,green onions,32
Palestinian,green onions,
Norwegian,green onions,1
Austrian,green onions,3
Libyan,green onions,1
Angolan,green onions,
Korean,green onions,59
Cambodian,green onions,4
Mongolian,green onions,1
Northamerican,green onion,1456
Mexican,green onion,360
American,green onion,897
Canadian,green onion,115
Hawaiian,green onion,22
South Eestern United States,green onion,170
Asian,green onion,865
Indian,green onion,28
German,green onion,9
European,green onion,269
Italian,green onion,87
Southern United States,green onion,329
Indonesian,green onion,5
Pacific North West,green onion,33
Polish,green onion,3
Chinese,green onion,183
British Columbian,green onion,23
Danish,green onion,1
Scandinavian,green onion,6
Swiss,green onion,3
Swedish,green onion,
French,green onion,18
African,green onion,29
Australian,green onion,21
English,green onion,6
Quebec,green onion,2
Middle Eastern,green onion,43
Lebanese,green onion,9
Greek,green onion,51
South American,green onion,32
Russian,green onion,8
Japanese,green onion,43
Puertorican,green onion,1
Spanish,green onion,9
Irish,green onion,7
Thai,green onion,80
Polynesian,green onion,11
Iraqi,green onion,1
Pakistani,green onion,2
Scottish,green onion,1
South African,green onion,1
Colombian,green onion,7
Welsh,green onion,
Czech,green onion,
Filipino,green onion,7
Cuban,green onion,3
Belgian,green onion,1
Costarican,green onion,2
Guatemalan,green onion,1
Finnish,green onion,1
Moroccan,green onion,5
Iranian Persian,green onion,5
Turkish,green onion,3
Portuguese,green onion,2
Hungarian,green onion,2
Georgian,green onion,1
Brazilian,green onion,3
Nigerian,green onion,
Ethiopian,green onion,
Ecuadorean,green onion,
Peruvian,green onion,4
Egyptian,green onion,2
Argentine,green onion,3
Chilean,green onion,
Malaysian,green onion,3
Nepalese,green onion,2
Vietnamese,green onion,22
Palestinian,green onion,3
Norwegian,green onion,
Austrian,green onion,
Libyan,green onion,
Angolan,green onion,1
Korean,green onion,51
Cambodian,green onion,4
Mongolian,green onion,5
Northamerican,red onion,1307
Mexican,red onion,351
American,red onion,749
Canadian,red onion,82
Hawaiian,red onion,13
South Eestern United States,red onion,210
Asian,red onion,347
Indian,red onion,70
German,red onion,20
European,red onion,784
Italian,red onion,245
Southern United States,red onion,106
Indonesian,red onion,6
Pacific North West,red onion,15
Polish,red onion,4
Chinese,red onion,22
British Columbian,red onion,16
Danish,red onion,2
Scandinavian,red onion,23
Swiss,red onion,4
Swedish,red onion,4
French,red onion,48
African,red onion,104
Australian,red onion,91
English,red onion,26
Quebec,red onion,
Middle Eastern,red onion,60
Lebanese,red onion,7
Greek,red onion,230
South American,red onion,75
Russian,red onion,8
Japanese,red onion,10
Puertorican,red onion,
Spanish,red onion,35
Irish,red onion,4
Thai,red onion,68
Polynesian,red onion,5
Iraqi,red onion,
Pakistani,red onion,1
Scottish,red onion,7
South African,red onion,2
Colombian,red onion,2
Welsh,red onion,4
Czech,red onion,
Filipino,red onion,1
Cuban,red onion,10
Belgian,red onion,3
Costarican,red onion,3
Guatemalan,red onion,4
Finnish,red onion,1
Moroccan,red onion,58
Iranian Persian,red onion,2
Turkish,red onion,8
Portuguese,red onion,7
Hungarian,red onion,3
Georgian,red onion,
Brazilian,red onion,7
Nigerian,red onion,1
Ethiopian,red onion,8
Ecuadorean,red onion,8
Peruvian,red onion,22
Egyptian,red onion,
Argentine,red onion,7
Chilean,red onion,1
Malaysian,red onion,4
Nepalese,red onion,4
Vietnamese,red onion,19
Palestinian,red onion,2
Norwegian,red onion,5
Austrian,red onion,3
Libyan,red onion,
Angolan,red onion,
Korean,red onion,2
Cambodian,red onion,2
Mongolian,red onion,
Northamerican,cumin,1439
Mexican,cumin,801
American,cumin,700
Canadian,cumin,38
Hawaiian,cumin,4
South Eestern United States,cumin,428
Asian,cumin,358
Indian,cumin,165
German,cumin,4
European,cumin,173
Italian,cumin,18
Southern United States,cumin,105
Indonesian,cumin,9
Pacific North West,cumin,13
Polish,cumin,
Chinese,cumin,7
British Columbian,cumin,5
Danish,cumin,
Scandinavian,cumin,
Swiss,cumin,
Swedish,cumin,
French,cumin,5
African,cumin,271
Australian,cumin,25
English,cumin,3
Quebec,cumin,3
Middle Eastern,cumin,173
Lebanese,cumin,21
Greek,cumin,51
South American,cumin,82
Russian,cumin,
Japanese,cumin,1
Puertorican,cumin,3
Spanish,cumin,26
Irish,cumin,
Thai,cumin,15
Polynesian,cumin,2
Iraqi,cumin,6
Pakistani,cumin,13
Scottish,cumin,1
South African,cumin,2
Colombian,cumin,7
Welsh,cumin,1
Czech,cumin,
Filipino,cumin,
Cuban,cumin,34
Belgian,cumin,
Costarican,cumin,1
Guatemalan,cumin,1
Finnish,cumin,
Moroccan,cumin,153
Iranian Persian,cumin,14
Turkish,cumin,19
Portuguese,cumin,7
Hungarian,cumin,3
Georgian,cumin,
Brazilian,cumin,8
Nigerian,cumin,1
Ethiopian,cumin,1
Ecuadorean,cumin,3
Peruvian,cumin,10
Egyptian,cumin,30
Argentine,cumin,5
Chilean,cumin,8
Malaysian,cumin,1
Nepalese,cumin,3
Vietnamese,cumin,2
Palestinian,cumin,5
Norwegian,cumin,
Austrian,cumin,
Libyan,cumin,3
Angolan,cumin,
Korean,cumin,
Cambodian,cumin,
Mongolian,cumin,
Northamerican,ground cinnamon,1424
Mexican,ground cinnamon,164
American,ground cinnamon,835
Canadian,ground cinnamon,113
Hawaiian,ground cinnamon,5
South Eestern United States,ground cinnamon,46
Asian,ground cinnamon,247
Indian,ground cinnamon,98
German,ground cinnamon,36
European,ground cinnamon,576
Italian,ground cinnamon,56
Southern United States,ground cinnamon,160
Indonesian,ground cinnamon,2
Pacific North West,ground cinnamon,17
Polish,ground cinnamon,5
Chinese,ground cinnamon,11
British Columbian,ground cinnamon,12
Danish,ground cinnamon,4
Scandinavian,ground cinnamon,46
Swiss,ground cinnamon,6
Swedish,ground cinnamon,13
French,ground cinnamon,44
African,ground cinnamon,303
Australian,ground cinnamon,63
English,ground cinnamon,65
Quebec,ground cinnamon,4
Middle Eastern,ground cinnamon,146
Lebanese,ground cinnamon,26
Greek,ground cinnamon,127
South American,ground cinnamon,36
Russian,ground cinnamon,11
Japanese,ground cinnamon,2
Puertorican,ground cinnamon,3
Spanish,ground cinnamon,20
Irish,ground cinnamon,12
Thai,ground cinnamon,7
Polynesian,ground cinnamon,2
Iraqi,ground cinnamon,3
Pakistani,ground cinnamon,3
Scottish,ground cinnamon,21
South African,ground cinnamon,16
Colombian,ground cinnamon,1
Welsh,ground cinnamon,7
Czech,ground cinnamon,1
Filipino,ground cinnamon,1
Cuban,ground cinnamon,8
Belgian,ground cinnamon,5
Costarican,ground cinnamon,1
Guatemalan,ground cinnamon,1
Finnish,ground cinnamon,2
Moroccan,ground cinnamon,177
Iranian Persian,ground cinnamon,18
Turkish,ground cinnamon,22
Portuguese,ground cinnamon,7
Hungarian,ground cinnamon,
Georgian,ground cinnamon,
Brazilian,ground cinnamon,7
Nigerian,ground cinnamon,1
Ethiopian,ground cinnamon,14
Ecuadorean,ground cinnamon,
Peruvian,ground cinnamon,2
Egyptian,ground cinnamon,9
Argentine,ground cinnamon,
Chilean,ground cinnamon,1
Malaysian,ground cinnamon,2
Nepalese,ground cinnamon,2
Vietnamese,ground cinnamon,6
Palestinian,ground cinnamon,4
Norwegian,ground cinnamon,7
Austrian,ground cinnamon,8
Libyan,ground cinnamon,3
Angolan,ground cinnamon,2
Korean,ground cinnamon,
Cambodian,ground cinnamon,
Mongolian,ground cinnamon,
Northamerican,dried oregano,1183
Mexican,dried oregano,327
American,dried oregano,668
Canadian,dried oregano,75
Hawaiian,dried oregano,2
South Eestern United States,dried oregano,181
Asian,dried oregano,45
Indian,dried oregano,9
German,dried oregano,3
European,dried oregano,1081
Italian,dried oregano,544
Southern United States,dried oregano,189
Indonesian,dried oregano,
Pacific North West,dried oregano,11
Polish,dried oregano,3
Chinese,dried oregano,1
British Columbian,dried oregano,17
Danish,dried oregano,1
Scandinavian,dried oregano,4
Swiss,dried oregano,3
Swedish,dried oregano,2
French,dried oregano,20
African,dried oregano,32
Australian,dried oregano,32
English,dried oregano,8
Quebec,dried oregano,2
Middle Eastern,dried oregano,29
Lebanese,dried oregano,6
Greek,dried oregano,339
South American,dried oregano,58
Russian,dried oregano,3
Japanese,dried oregano,1
Puertorican,dried oregano,14
Spanish,dried oregano,39
Irish,dried oregano,2
Thai,dried oregano,
Polynesian,dried oregano,
Iraqi,dried oregano,
Pakistani,dried oregano,
Scottish,dried oregano,1
South African,dried oregano,1
Colombian,dried oregano,3
Welsh,dried oregano,
Czech,dried oregano,1
Filipino,dried oregano,
Cuban,dried oregano,28
Belgian,dried oregano,
Costarican,dried oregano,
Guatemalan,dried oregano,
Finnish,dried oregano,
Moroccan,dried oregano,10
Iranian Persian,dried oregano,1
Turkish,dried oregano,4
Portuguese,dried oregano,9
Hungarian,dried oregano,1
Georgian,dried oregano,
Brazilian,dried oregano,4
Nigerian,dried oregano,
Ethiopian,dried oregano,3
Ecuadorean,dried oregano,1
Peruvian,dried oregano,5
Egyptian,dried oregano,1
Argentine,dried oregano,15
Chilean,dried oregano,5
Malaysian,dried oregano,
Nepalese,dried oregano,
Vietnamese,dried oregano,
Palestinian,dried oregano,
Norwegian,dried oregano,1
Austrian,dried oregano,1
Libyan,dried oregano,
Angolan,dried oregano,
Korean,dried oregano,
Cambodian,dried oregano,
Mongolian,dried oregano,
Northamerican,kosher salt,1350
Mexican,kosher salt,205
American,kosher salt,952
Canadian,kosher salt,41
Hawaiian,kosher salt,8
South Eestern United States,kosher salt,127
Asian,kosher salt,254
Indian,kosher salt,53
German,kosher salt,22
European,kosher salt,686
Italian,kosher salt,268
Southern United States,kosher salt,194
Indonesian,kosher salt,
Pacific North West,kosher salt,26
Polish,kosher salt,3
Chinese,kosher salt,32
British Columbian,kosher salt,4
Danish,kosher salt,1
Scandinavian,kosher salt,22
Swiss,kosher salt,7
Swedish,kosher salt,9
French,kosher salt,86
African,kosher salt,84
Australian,kosher salt,17
English,kosher salt,22
Quebec,kosher salt,4
Middle Eastern,kosher salt,72
Lebanese,kosher salt,6
Greek,kosher salt,77
South American,kosher salt,43
Russian,kosher salt,2
Japanese,kosher salt,15
Puertorican,kosher salt,3
Spanish,kosher salt,41
Irish,kosher salt,8
Thai,kosher salt,24
Polynesian,kosher salt,8
Iraqi,kosher salt,2
Pakistani,kosher salt,1
Scottish,kosher salt,2
South African,kosher salt,4
Colombian,kosher salt,1
Welsh,kosher salt,2
Czech,kosher salt,2
Filipino,kosher salt,1
Cuban,kosher salt,6
Belgian,kosher salt,1
Costarican,kosher salt,1
Guatemalan,kosher salt,1
Finnish,kosher salt,
Moroccan,kosher salt,36
Iranian Persian,kosher salt,2
Turkish,kosher salt,9
Portuguese,kosher salt,7
Hungarian,kosher salt,7
Georgian,kosher salt,
Brazilian,kosher salt,6
Nigerian,kosher salt,
Ethiopian,kosher salt,2
Ecuadorean,kosher salt,1
Peruvian,kosher salt,3
Egyptian,kosher salt,5
Argentine,kosher salt,13
Chilean,kosher salt,1
Malaysian,kosher salt,3
Nepalese,kosher salt,
Vietnamese,kosher salt,7
Palestinian,kosher salt,1
Norwegian,kosher salt,2
Austrian,kosher salt,3
Libyan,kosher salt,
Angolan,kosher salt,
Korean,kosher salt,6
Cambodian,kosher salt,
Mongolian,kosher salt,
Northamerican,nutmeg,1276
Mexican,nutmeg,42
American,nutmeg,842
Canadian,nutmeg,157
Hawaiian,nutmeg,9
South Eestern United States,nutmeg,23
Asian,nutmeg,129
Indian,nutmeg,46
German,nutmeg,76
European,nutmeg,869
Italian,nutmeg,180
Southern United States,nutmeg,166
Indonesian,nutmeg,8
Pacific North West,nutmeg,24
Polish,nutmeg,7
Chinese,nutmeg,4
British Columbian,nutmeg,16
Danish,nutmeg,10
Scandinavian,nutmeg,73
Swiss,nutmeg,36
Swedish,nutmeg,24
French,nutmeg,116
African,nutmeg,97
Australian,nutmeg,37
English,nutmeg,93
Quebec,nutmeg,9
Middle Eastern,nutmeg,44
Lebanese,nutmeg,3
Greek,nutmeg,72
South American,nutmeg,20
Russian,nutmeg,9
Japanese,nutmeg,5
Puertorican,nutmeg,2
Spanish,nutmeg,23
Irish,nutmeg,15
Thai,nutmeg,5
Polynesian,nutmeg,3
Iraqi,nutmeg,1
Pakistani,nutmeg,3
Scottish,nutmeg,29
South African,nutmeg,11
Colombian,nutmeg,
Welsh,nutmeg,10
Czech,nutmeg,4
Filipino,nutmeg,
Cuban,nutmeg,5
Belgian,nutmeg,15
Costarican,nutmeg,
Guatemalan,nutmeg,1
Finnish,nutmeg,4
Moroccan,nutmeg,24
Iranian Persian,nutmeg,6
Turkish,nutmeg,5
Portuguese,nutmeg,7
Hungarian,nutmeg,7
Georgian,nutmeg,
Brazilian,nutmeg,5
Nigerian,nutmeg,3
Ethiopian,nutmeg,7
Ecuadorean,nutmeg,
Peruvian,nutmeg,1
Egyptian,nutmeg,11
Argentine,nutmeg,3
Chilean,nutmeg,
Malaysian,nutmeg,1
Nepalese,nutmeg,7
Vietnamese,nutmeg,
Palestinian,nutmeg,1
Norwegian,nutmeg,15
Austrian,nutmeg,10
Libyan,nutmeg,2
Angolan,nutmeg,
Korean,nutmeg,1
Cambodian,nutmeg,
Mongolian,nutmeg,
Northamerican,tomato paste,863
Mexican,tomato paste,166
American,tomato paste,525
Canadian,tomato paste,67
Hawaiian,tomato paste,3
South Eestern United States,tomato paste,121
Asian,tomato paste,277
Indian,tomato paste,107
German,tomato paste,25
European,tomato paste,967
Italian,tomato paste,515
Southern United States,tomato paste,132
Indonesian,tomato paste,2
Pacific North West,tomato paste,12
Polish,tomato paste,7
Chinese,tomato paste,15
British Columbian,tomato paste,12
Danish,tomato paste,1
Scandinavian,tomato paste,6
Swiss,tomato paste,2
Swedish,tomato paste,1
French,tomato paste,59
African,tomato paste,153
Australian,tomato paste,63
English,tomato paste,21
Quebec,tomato paste,3
Middle Eastern,tomato paste,118
Lebanese,tomato paste,15
Greek,tomato paste,116
South American,tomato paste,32
Russian,tomato paste,16
Japanese,tomato paste,5
Puertorican,tomato paste,4
Spanish,tomato paste,28
Irish,tomato paste,9
Thai,tomato paste,12
Polynesian,tomato paste,2
Iraqi,tomato paste,18
Pakistani,tomato paste,3
Scottish,tomato paste,2
South African,tomato paste,7
Colombian,tomato paste,
Welsh,tomato paste,
Czech,tomato paste,3
Filipino,tomato paste,3
Cuban,tomato paste,13
Belgian,tomato paste,1
Costarican,tomato paste,
Guatemalan,tomato paste,
Finnish,tomato paste,1
Moroccan,tomato paste,40
Iranian Persian,tomato paste,18
Turkish,tomato paste,19
Portuguese,tomato paste,21
Hungarian,tomato paste,24
Georgian,tomato paste,
Brazilian,tomato paste,10
Nigerian,tomato paste,4
Ethiopian,tomato paste,10
Ecuadorean,tomato paste,1
Peruvian,tomato paste,1
Egyptian,tomato paste,21
Argentine,tomato paste,2
Chilean,tomato paste,3
Malaysian,tomato paste,3
Nepalese,tomato paste,1
Vietnamese,tomato paste,6
Palestinian,tomato paste,6
Norwegian,tomato paste,1
Austrian,tomato paste,4
Libyan,tomato paste,3
Angolan,tomato paste,
Korean,tomato paste,
Cambodian,tomato paste,
Mongolian,tomato paste,
Northamerican,cilantro,1184
Mexican,cilantro,734
American,cilantro,459
Canadian,cilantro,29
Hawaiian,cilantro,13
South Eestern United States,cilantro,298
Asian,cilantro,694
Indian,cilantro,210
German,cilantro,1
European,cilantro,92
Italian,cilantro,15
Southern United States,cilantro,31
Indonesian,cilantro,10
Pacific North West,cilantro,8
Polish,cilantro,1
Chinese,cilantro,52
British Columbian,cilantro,7
Danish,cilantro,
Scandinavian,cilantro,
Swiss,cilantro,
Swedish,cilantro,
French,cilantro,3
African,cilantro,135
Australian,cilantro,8
English,cilantro,4
Quebec,cilantro,
Middle Eastern,cilantro,65
Lebanese,cilantro,10
Greek,cilantro,9
South American,cilantro,114
Russian,cilantro,2
Japanese,cilantro,7
Puertorican,cilantro,7
Spanish,cilantro,24
Irish,cilantro,1
Thai,cilantro,156
Polynesian,cilantro,4
Iraqi,cilantro,1
Pakistani,cilantro,4
Scottish,cilantro,
South African,cilantro,2
Colombian,cilantro,9
Welsh,cilantro,
Czech,cilantro,
Filipino,cilantro,3
Cuban,cilantro,14
Belgian,cilantro,
Costarican,cilantro,3
Guatemalan,cilantro,4
Finnish,cilantro,
Moroccan,cilantro,73
Iranian Persian,cilantro,8
Turkish,cilantro,4
Portuguese,cilantro,12
Hungarian,cilantro,
Georgian,cilantro,3
Brazilian,cilantro,16
Nigerian,cilantro,1
Ethiopian,cilantro,
Ecuadorean,cilantro,4
Peruvian,cilantro,18
Egyptian,cilantro,1
Argentine,cilantro,5
Chilean,cilantro,8
Malaysian,cilantro,7
Nepalese,cilantro,13
Vietnamese,cilantro,46
Palestinian,cilantro,1
Norwegian,cilantro,
Austrian,cilantro,
Libyan,cilantro,1
Angolan,cilantro,
Korean,cilantro,5
Cambodian,cilantro,5
Mongolian,cilantro,1
Northamerican,chicken stock,868
Mexican,chicken stock,147
American,chicken stock,497
Canadian,chicken stock,110
Hawaiian,chicken stock,4
South Eestern United States,chicken stock,83
Asian,chicken stock,555
Indian,chicken stock,64
German,chicken stock,19
European,chicken stock,700
Italian,chicken stock,196
Southern United States,chicken stock,173
Indonesian,chicken stock,6
Pacific North West,chicken stock,11
Polish,chicken stock,5
Chinese,chicken stock,168
British Columbian,chicken stock,12
Danish,chicken stock,2
Scandinavian,chicken stock,18
Swiss,chicken stock,6
Swedish,chicken stock,5
French,chicken stock,84
African,chicken stock,113
Australian,chicken stock,127
English,chicken stock,52
Quebec,chicken stock,4
Middle Eastern,chicken stock,55
Lebanese,chicken stock,2
Greek,chicken stock,46
South American,chicken stock,27
Russian,chicken stock,7
Japanese,chicken stock,16
Puertorican,chicken stock,1
Spanish,chicken stock,55
Irish,chicken stock,26
Thai,chicken stock,82
Polynesian,chicken stock,1
Iraqi,chicken stock,6
Pakistani,chicken stock,5
Scottish,chicken stock,10
South African,chicken stock,6
Colombian,chicken stock,5
Welsh,chicken stock,9
Czech,chicken stock,2
Filipino,chicken stock,2
Cuban,chicken stock,5
Belgian,chicken stock,5
Costarican,chicken stock,1
Guatemalan,chicken stock,1
Finnish,chicken stock,
Moroccan,chicken stock,53
Iranian Persian,chicken stock,5
Turkish,chicken stock,9
Portuguese,chicken stock,15
Hungarian,chicken stock,10
Georgian,chicken stock,1
Brazilian,chicken stock,7
Nigerian,chicken stock,1
Ethiopian,chicken stock,3
Ecuadorean,chicken stock,1
Peruvian,chicken stock,3
Egyptian,chicken stock,8
Argentine,chicken stock,3
Chilean,chicken stock,2
Malaysian,chicken stock,11
Nepalese,chicken stock,1
Vietnamese,chicken stock,17
Palestinian,chicken stock,1
Norwegian,chicken stock,1
Austrian,chicken stock,3
Libyan,chicken stock,1
Angolan,chicken stock,
Korean,chicken stock,2
Cambodian,chicken stock,
Mongolian,chicken stock,1
Northamerican,tomato sauce,1208
Mexican,tomato sauce,366
American,tomato sauce,734
Canadian,tomato sauce,55
Hawaiian,tomato sauce,4
South Eestern United States,tomato sauce,204
Asian,tomato sauce,113
Indian,tomato sauce,39
German,tomato sauce,2
European,tomato sauce,701
Italian,tomato sauce,462
Southern United States,tomato sauce,171
Indonesian,tomato sauce,4
Pacific North West,tomato sauce,9
Polish,tomato sauce,11
Chinese,tomato sauce,14
British Columbian,tomato sauce,6
Danish,tomato sauce,
Scandinavian,tomato sauce,3
Swiss,tomato sauce,3
Swedish,tomato sauce,2
French,tomato sauce,7
African,tomato sauce,49
Australian,tomato sauce,52
English,tomato sauce,3
Quebec,tomato sauce,2
Middle Eastern,tomato sauce,34
Lebanese,tomato sauce,4
Greek,tomato sauce,72
South American,tomato sauce,22
Russian,tomato sauce,7
Japanese,tomato sauce,2
Puertorican,tomato sauce,13
Spanish,tomato sauce,21
Irish,tomato sauce,4
Thai,tomato sauce,5
Polynesian,tomato sauce,2
Iraqi,tomato sauce,7
Pakistani,tomato sauce,2
Scottish,tomato sauce,1
South African,tomato sauce,4
Colombian,tomato sauce,
Welsh,tomato sauce,
Czech,tomato sauce,1
Filipino,tomato sauce,8
Cuban,tomato sauce,27
Belgian,tomato sauce,1
Costarican,tomato sauce,1
Guatemalan,tomato sauce,
Finnish,tomato sauce,1
Moroccan,tomato sauce,11
Iranian Persian,tomato sauce,1
Turkish,tomato sauce,7
Portuguese,tomato sauce,17
Hungarian,tomato sauce,11
Georgian,tomato sauce,1
Brazilian,tomato sauce,3
Nigerian,tomato sauce,1
Ethiopian,tomato sauce,4
Ecuadorean,tomato sauce,1
Peruvian,tomato sauce,1
Egyptian,tomato sauce,11
Argentine,tomato sauce,1
Chilean,tomato sauce,
Malaysian,tomato sauce,
Nepalese,tomato sauce,
Vietnamese,tomato sauce,3
Palestinian,tomato sauce,2
Norwegian,tomato sauce,
Austrian,tomato sauce,1
Libyan,tomato sauce,1
Angolan,tomato sauce,
Korean,tomato sauce,
Cambodian,tomato sauce,1
Mongolian,tomato sauce,
Northamerican,red bell pepper,1054
Mexican,red bell pepper,242
American,red bell pepper,661
Canadian,red bell pepper,44
Hawaiian,red bell pepper,10
South Eestern United States,red bell pepper,174
Asian,red bell pepper,659
Indian,red bell pepper,50
German,red bell pepper,14
European,red bell pepper,467
Italian,red bell pepper,183
Southern United States,red bell pepper,166
Indonesian,red bell pepper,8
Pacific North West,red bell pepper,11
Polish,red bell pepper,2
Chinese,red bell pepper,118
British Columbian,red bell pepper,9
Danish,red bell pepper,
Scandinavian,red bell pepper,6
Swiss,red bell pepper,
Swedish,red bell pepper,
French,red bell pepper,17
African,red bell pepper,74
Australian,red bell pepper,15
English,red bell pepper,8
Quebec,red bell pepper,2
Middle Eastern,red bell pepper,41
Lebanese,red bell pepper,3
Greek,red bell pepper,60
South American,red bell pepper,66
Russian,red bell pepper,2
Japanese,red bell pepper,16
Puertorican,red bell pepper,5
Spanish,red bell pepper,73
Irish,red bell pepper,2
Thai,red bell pepper,116
Polynesian,red bell pepper,2
Iraqi,red bell pepper,
Pakistani,red bell pepper,1
Scottish,red bell pepper,2
South African,red bell pepper,4
Colombian,red bell pepper,1
Welsh,red bell pepper,
Czech,red bell pepper,
Filipino,red bell pepper,13
Cuban,red bell pepper,9
Belgian,red bell pepper,3
Costarican,red bell pepper,3
Guatemalan,red bell pepper,1
Finnish,red bell pepper,
Moroccan,red bell pepper,29
Iranian Persian,red bell pepper,1
Turkish,red bell pepper,6
Portuguese,red bell pepper,5
Hungarian,red bell pepper,8
Georgian,red bell pepper,1
Brazilian,red bell pepper,12
Nigerian,red bell pepper,
Ethiopian,red bell pepper,1
Ecuadorean,red bell pepper,2
Peruvian,red bell pepper,8
Egyptian,red bell pepper,4
Argentine,red bell pepper,7
Chilean,red bell pepper,3
Malaysian,red bell pepper,3
Nepalese,red bell pepper,7
Vietnamese,red bell pepper,10
Palestinian,red bell pepper,1
Norwegian,red bell pepper,2
Austrian,red bell pepper,
Libyan,red bell pepper,
Angolan,red bell pepper,
Korean,red bell pepper,3
Cambodian,red bell pepper,3
Mongolian,red bell pepper,3
Northamerican,fresh ginger,449
Mexican,fresh ginger,16
American,fresh ginger,216
Canadian,fresh ginger,66
Hawaiian,fresh ginger,32
South Eestern United States,fresh ginger,12
Asian,fresh ginger,1943
Indian,fresh ginger,406
German,fresh ginger,4
European,fresh ginger,81
Italian,fresh ginger,12
Southern United States,fresh ginger,27
Indonesian,fresh ginger,26
Pacific North West,fresh ginger,5
Polish,fresh ginger,1
Chinese,fresh ginger,358
British Columbian,fresh ginger,17
Danish,fresh ginger,
Scandinavian,fresh ginger,8
Swiss,fresh ginger,
Swedish,fresh ginger,1
French,fresh ginger,9
African,fresh ginger,128
Australian,fresh ginger,86
English,fresh ginger,14
Quebec,fresh ginger,
Middle Eastern,fresh ginger,30
Lebanese,fresh ginger,1
Greek,fresh ginger,1
South American,fresh ginger,11
Russian,fresh ginger,
Japanese,fresh ginger,113
Puertorican,fresh ginger,1
Spanish,fresh ginger,2
Irish,fresh ginger,5
Thai,fresh ginger,203
Polynesian,fresh ginger,11
Iraqi,fresh ginger,4
Pakistani,fresh ginger,22
Scottish,fresh ginger,4
South African,fresh ginger,16
Colombian,fresh ginger,
Welsh,fresh ginger,
Czech,fresh ginger,
Filipino,fresh ginger,9
Cuban,fresh ginger,1
Belgian,fresh ginger,2
Costarican,fresh ginger,1
Guatemalan,fresh ginger,
Finnish,fresh ginger,2
Moroccan,fresh ginger,32
Iranian Persian,fresh ginger,3
Turkish,fresh ginger,
Portuguese,fresh ginger,
Hungarian,fresh ginger,
Georgian,fresh ginger,
Brazilian,fresh ginger,5
Nigerian,fresh ginger,3
Ethiopian,fresh ginger,13
Ecuadorean,fresh ginger,1
Peruvian,fresh ginger,2
Egyptian,fresh ginger,1
Argentine,fresh ginger,
Chilean,fresh ginger,
Malaysian,fresh ginger,18
Nepalese,fresh ginger,6
Vietnamese,fresh ginger,33
Palestinian,fresh ginger,1
Norwegian,fresh ginger,1
Austrian,fresh ginger,
Libyan,fresh ginger,
Angolan,fresh ginger,1
Korean,fresh ginger,36
Cambodian,fresh ginger,4
Mongolian,fresh ginger,3
Northamerican,fresh lemon juice,1003
Mexican,fresh lemon juice,61
American,fresh lemon juice,636
Canadian,fresh lemon juice,123
Hawaiian,fresh lemon juice,6
South Eestern United States,fresh lemon juice,47
Asian,fresh lemon juice,308
Indian,fresh lemon juice,83
German,fresh lemon juice,26
European,fresh lemon juice,722
Italian,fresh lemon juice,162
Southern United States,fresh lemon juice,156
Indonesian,fresh lemon juice,4
Pacific North West,fresh lemon juice,20
Polish,fresh lemon juice,3
Chinese,fresh lemon juice,14
British Columbian,fresh lemon juice,17
Danish,fresh lemon juice,4
Scandinavian,fresh lemon juice,19
Swiss,fresh lemon juice,12
Swedish,fresh lemon juice,4
French,fresh lemon juice,51
African,fresh lemon juice,138
Australian,fresh lemon juice,31
English,fresh lemon juice,30
Quebec,fresh lemon juice,1
Middle Eastern,fresh lemon juice,146
Lebanese,fresh lemon juice,25
Greek,fresh lemon juice,184
South American,fresh lemon juice,41
Russian,fresh lemon juice,13
Japanese,fresh lemon juice,13
Puertorican,fresh lemon juice,1
Spanish,fresh lemon juice,41
Irish,fresh lemon juice,13
Thai,fresh lemon juice,19
Polynesian,fresh lemon juice,4
Iraqi,fresh lemon juice,3
Pakistani,fresh lemon juice,
Scottish,fresh lemon juice,7
South African,fresh lemon juice,7
Colombian,fresh lemon juice,2
Welsh,fresh lemon juice,
Czech,fresh lemon juice,
Filipino,fresh lemon juice,1
Cuban,fresh lemon juice,5
Belgian,fresh lemon juice,4
Costarican,fresh lemon juice,
Guatemalan,fresh lemon juice,1
Finnish,fresh lemon juice,2
Moroccan,fresh lemon juice,63
